dissimilarity_used,k,n,time_results,iterations,assignments,cost_calculations,cluster_calculations
manhattan_distance,3,176,0.025023099999089027,3,528,49402,541
manhattan_distance,3,193,0.020609600000170758,3,579,40083,593
manhattan_distance,3,212,0.016576899997744476,2,424,31668,433
manhattan_distance,3,233,0.028995799999393057,3,699,57715,712
manhattan_distance,3,256,0.03442440000071656,2,512,68396,521
manhattan_distance,3,281,0.02829579999888665,2,562,54890,571
manhattan_distance,3,309,0.03993540000010398,2,618,78982,627
manhattan_distance,3,339,0.1801789999990433,7,2373,359581,2408
manhattan_distance,3,372,0.07086350000099628,3,1116,142898,1129
manhattan_distance,3,409,0.09474200000113342,3,1227,188997,1242
manhattan_distance,3,449,0.17733619999853545,5,2245,357663,2268
manhattan_distance,3,493,0.1726466000000073,4,1972,338660,1990
manhattan_distance,3,542,0.15258839999660267,3,1626,300470,1639
manhattan_distance,3,596,0.24793050000153016,4,2384,493140,2402
manhattan_distance,3,655,0.23822160000054282,3,1965,459319,1980
manhattan_distance,3,720,0.7232068999983312,7,5040,1425128,5078
manhattan_distance,3,792,0.8231532999998308,5,3960,1584462,3981
manhattan_distance,3,871,0.5507451999983459,4,3484,1035916,3504
manhattan_distance,3,958,0.6885571999991953,4,3832,1292588,3853
manhattan_distance,3,1053,0.9969385999975202,5,5265,1917841,5289
manhattan_distance,3,1158,3.7548225999998976,13,15054,7326752,15123
manhattan_distance,3,1273,0.5577087000019674,2,2546,1090538,2555
manhattan_distance,3,1400,3.487042900000233,9,12600,6627720,12646
manhattan_distance,3,1540,1.2380075000000943,3,4620,2402094,4634
manhattan_distance,3,1694,2.538841199999297,5,8470,4893606,8495
manhattan_distance,3,1863,1.29096059999938,2,3726,2329038,3735
manhattan_distance,3,2049,2.1937219000028563,3,6147,4245791,6162
manhattan_distance,3,2253,4.640827100000024,5,11265,9045339,11292
manhattan_distance,3,2478,4.244503599999007,4,9912,8280432,9932
manhattan_distance,3,2725,9.164262500002224,5,13625,17990961,13650
manhattan_distance,3,2997,6.403608299999178,4,11988,12535126,12007
manhattan_distance,3,3296,7.571802600003139,4,13184,14903394,13204
manhattan_distance,3,3625,12.752171799998905,5,18125,25156127,18152
manhattan_distance,3,3987,8.439658399998734,3,11961,15960577,11975
manhattan_distance,3,4385,14.443220400000428,3,13155,28770121,13170
manhattan_distance,3,4823,16.912711700002546,4,19292,33617106,19313
manhattan_distance,3,5305,14.251572699999087,3,15915,28269997,15930
manhattan_distance,3,5835,17.269606400001067,3,17505,34355295,17519
